,Date,Time,CO(GT),Nonmethane Hydrocarbons,Benzene,Nitrogen Oxides,Nitrogen Dioxide,T
488,2004-03-31,2:00:00,0.9,66.0,2.8,47.0,70.0,14.8
490,2004-03-31,4:00:00,0.5,18.0,0.8,15.0,26.0,14.5
491,2004-03-31,5:00:00,0.6,31.0,1.5,44.0,58.0,14.6
492,2004-03-31,6:00:00,1.0,57.0,3.5,85.0,93.0,14.4
493,2004-03-31,7:00:00,3.1,342.0,15.6,207.0,110.0,13.8
494,2004-03-31,8:00:00,4.1,644.0,19.9,230.0,115.0,13.2
495,2004-03-31,9:00:00,2.2,216.0,8.6,181.0,125.0,10.4
496,2004-03-31,10:00:00,1.7,117.0,6.5,144.0,118.0,11.5
497,2004-03-31,11:00:00,1.9,156.0,7.7,140.0,109.0,12.2
498,2004-03-31,12:00:00,2.9,332.0,11.3,204.0,123.0,12.3
499,2004-03-31,13:00:00,2.2,232.0,9.1,149.0,114.0,11.3
500,2004-03-31,14:00:00,2.6,295.0,11.2,171.0,114.0,13.6
501,2004-03-31,15:00:00,3.1,386.0,13.5,195.0,119.0,14.9
502,2004-03-31,16:00:00,2.3,278.0,10.1,152.0,111.0,15.7
503,2004-03-31,17:00:00,2.4,263.0,11.3,128.0,103.0,15.2
504,2004-03-31,18:00:00,2.8,322.0,11.8,121.0,103.0,15.5
505,2004-03-31,19:00:00,2.7,226.0,11.5,142.0,107.0,14.3
506,2004-03-31,20:00:00,2.3,221.0,9.3,131.0,105.0,13.2
507,2004-03-31,21:00:00,1.5,109.0,5.5,81.0,91.0,12.6
508,2004-03-31,22:00:00,1.4,105.0,5.1,60.0,79.0,12.3
509,2004-03-31,23:00:00,1.2,84.0,4.8,57.0,79.0,12.0
510,2004-04-01,0:00:00,1.6,106.0,6.3,96.0,86.0,12.0
511,2004-04-01,1:00:00,1.2,100.0,5.1,85.0,70.0,11.5
512,2004-04-01,2:00:00,1.1,71.0,4.1,50.0,55.0,10.7
514,2004-04-01,4:00:00,0.7,44.0,2.4,57.0,49.0,10.2
515,2004-04-01,5:00:00,0.9,45.0,2.9,64.0,50.0,11.0
516,2004-04-01,6:00:00,1.7,134.0,7.4,153.0,67.0,9.6
517,2004-04-01,7:00:00,4.2,505.0,19.8,342.0,94.0,9.5
518,2004-04-01,8:00:00,6.2,1042.0,31.9,378.0,119.0,11.9
519,2004-04-01,9:00:00,4.6,737.0,21.0,304.0,139.0,16.2
520,2004-04-01,10:00:00,2.8,375.0,11.7,192.0,113.0,19.2
521,2004-04-01,11:00:00,1.6,124.0,6.8,130.0,88.0,19.7
522,2004-04-01,12:00:00,1.7,137.0,7.4,106.0,73.0,20.6
523,2004-04-01,13:00:00,1.7,179.0,8.6,102.0,73.0,21.8
527,2004-04-01,17:00:00,3.3,388.0,16.4,163.0,106.0,23.6
528,2004-04-01,18:00:00,4.2,589.0,21.2,211.0,132.0,22.8
529,2004-04-01,19:00:00,5.5,840.0,25.0,267.0,164.0,20.8
530,2004-04-01,20:00:00,4.9,655.0,20.2,269.0,161.0,18.3
531,2004-04-01,21:00:00,2.5,254.0,10.8,154.0,124.0,16.8
532,2004-04-01,22:00:00,2.0,188.0,9.9,127.0,113.0,15.8
533,2004-04-01,23:00:00,2.0,120.0,8.5,122.0,103.0,14.9
534,2004-04-02,0:00:00,2.0,157.0,8.0,126.0,104.0,14.1
535,2004-04-02,1:00:00,1.3,88.0,5.6,84.0,93.0,13.3
536,2004-04-02,2:00:00,1.0,68.0,3.2,58.0,60.0,13.3
539,2004-04-02,5:00:00,0.7,51.0,2.6,56.0,66.0,11.3
540,2004-04-02,6:00:00,1.1,93.0,4.3,91.0,82.0,11.4
541,2004-04-02,7:00:00,2.6,284.0,13.0,159.0,109.0,11.9
542,2004-04-02,8:00:00,3.9,486.0,20.3,190.0,114.0,12.6
543,2004-04-02,9:00:00,5.0,798.0,20.7,249.0,139.0,13.6
544,2004-04-02,10:00:00,3.3,524.0,15.9,196.0,127.0,16.9
545,2004-04-02,11:00:00,2.9,468.0,14.2,180.0,127.0,19.4
546,2004-04-02,12:00:00,3.1,454.0,15.9,167.0,135.0,22.9
547,2004-04-02,13:00:00,3.0,461.0,16.1,159.0,130.0,23.6
548,2004-04-02,14:00:00,2.7,391.0,14.7,152.0,126.0,24.7
549,2004-04-02,15:00:00,2.7,337.0,14.0,149.0,121.0,26.1
550,2004-04-02,16:00:00,2.6,297.0,13.6,143.0,122.0,27.6
551,2004-04-02,17:00:00,3.7,588.0,19.7,185.0,138.0,26.9
552,2004-04-02,18:00:00,4.5,721.0,23.3,223.0,165.0,24.3
553,2004-04-02,19:00:00,4.7,710.0,24.1,215.0,154.0,21.2
554,2004-04-02,20:00:00,5.5,787.0,25.4,271.0,168.0,19.4
555,2004-04-02,21:00:00,3.0,415.0,14.1,180.0,146.0,18.5
556,2004-04-02,22:00:00,1.9,245.0,10.1,115.0,124.0,17.8
557,2004-04-02,23:00:00,2.3,294.0,12.1,149.0,124.0,16.8
558,2004-04-03,0:00:00,1.6,139.0,9.0,98.0,106.0,17.1
559,2004-04-03,1:00:00,1.3,98.0,6.3,73.0,88.0,16.2
560,2004-04-03,2:00:00,1.2,88.0,5.3,69.0,83.0,15.1
562,2004-04-03,4:00:00,0.8,57.0,3.0,60.0,74.0,14.5
563,2004-04-03,5:00:00,0.8,57.0,3.3,56.0,64.0,13.7
564,2004-04-03,6:00:00,0.9,60.0,3.5,73.0,69.0,13.9
565,2004-04-03,7:00:00,2.0,200.0,9.5,159.0,91.0,13.3
566,2004-04-03,8:00:00,3.0,451.0,15.2,203.0,96.0,15.1
567,2004-04-03,9:00:00,3.1,422.0,14.3,211.0,106.0,17.0
616,2004-04-05,10:00:00,3.1,424.0,14.3,236.0,124.0,15.6
617,2004-04-05,11:00:00,3.0,339.0,13.7,228.0,121.0,16.6
618,2004-04-05,12:00:00,3.2,445.0,15.7,206.0,114.0,17.0
619,2004-04-05,13:00:00,3.1,535.0,15.4,188.0,114.0,18.0
620,2004-04-05,14:00:00,2.5,278.0,12.6,158.0,106.0,19.5
621,2004-04-05,15:00:00,2.1,256.0,9.8,124.0,89.0,21.6
622,2004-04-05,16:00:00,2.0,245.0,9.6,98.0,82.0,22.2
623,2004-04-05,17:00:00,3.2,458.0,16.3,160.0,111.0,20.3
624,2004-04-05,18:00:00,4.1,710.0,19.8,194.0,132.0,19.7
625,2004-04-05,19:00:00,3.9,678.0,18.0,174.0,121.0,18.8
626,2004-04-05,20:00:00,3.1,436.0,13.6,157.0,116.0,17.9
627,2004-04-05,21:00:00,2.0,178.0,8.7,109.0,100.0,17.5
628,2004-04-05,22:00:00,1.7,160.0,7.7,85.0,89.0,17.4
629,2004-04-05,23:00:00,1.6,177.0,7.3,90.0,92.0,17.0
630,2004-04-06,0:00:00,1.0,101.0,4.1,61.0,71.0,16.6
631,2004-04-06,1:00:00,0.8,66.0,2.7,36.0,51.0,15.9
632,2004-04-06,2:00:00,0.5,40.0,1.5,25.0,39.0,15.0
634,2004-04-06,4:00:00,0.5,39.0,1.8,24.0,35.0,14.1
635,2004-04-06,5:00:00,0.8,62.0,3.4,73.0,64.0,14.6
636,2004-04-06,6:00:00,1.7,120.0,8.5,164.0,94.0,14.4
637,2004-04-06,7:00:00,4.5,599.0,24.1,329.0,134.0,15.3
638,2004-04-06,8:00:00,6.2,1084.0,33.7,302.0,129.0,16.2
639,2004-04-06,9:00:00,4.4,776.0,22.0,256.0,125.0,18.4
640,2004-04-06,10:00:00,2.9,470.0,14.1,182.0,107.0,19.6
641,2004-04-06,11:00:00,1.6,169.0,7.6,105.0,78.0,20.2
642,2004-04-06,12:00:00,2.6,304.0,14.5,136.0,91.0,20.9
643,2004-04-06,13:00:00,2.9,405.0,13.6,167.0,116.0,20.4
644,2004-04-06,14:00:00,2.5,297.0,11.5,166.0,131.0,19.3
645,2004-04-06,15:00:00,1.9,220.0,9.2,115.0,113.0,18.6
646,2004-04-06,16:00:00,1.9,226.0,10.3,109.0,98.0,18.8
647,2004-04-06,17:00:00,2.7,456.0,14.0,143.0,116.0,17.5
648,2004-04-06,18:00:00,3.0,470.0,15.0,159.0,120.0,16.8
649,2004-04-06,19:00:00,3.3,503.0,15.1,181.0,126.0,16.3
650,2004-04-06,20:00:00,3.2,459.0,14.8,178.0,126.0,15.6
651,2004-04-06,21:00:00,1.8,227.0,8.5,91.0,90.0,15.7
652,2004-04-06,22:00:00,1.3,152.0,5.9,76.0,81.0,15.8
653,2004-04-06,23:00:00,1.1,94.0,4.8,66.0,74.0,15.7
654,2004-04-07,0:00:00,0.9,93.0,4.0,56.0,67.0,15.7
655,2004-04-07,1:00:00,0.7,49.0,2.3,35.0,46.0,15.6
656,2004-04-07,2:00:00,0.4,30.0,1.4,21.0,30.0,15.6
658,2004-04-07,4:00:00,0.3,30.0,0.7,12.0,19.0,15.7
659,2004-04-07,5:00:00,0.3,32.0,0.8,22.0,32.0,15.3
660,2004-04-07,6:00:00,0.8,59.0,3.6,55.0,61.0,14.2
661,2004-04-07,7:00:00,2.8,277.0,12.9,152.0,111.0,14.3
662,2004-04-07,8:00:00,3.1,454.0,15.7,153.0,102.0,15.0
663,2004-04-07,9:00:00,2.3,211.0,8.6,152.0,116.0,13.6
664,2004-04-07,10:00:00,1.6,196.0,7.4,112.0,96.0,16.1
665,2004-04-07,11:00:00,1.5,110.0,6.6,119.0,97.0,16.6
666,2004-04-07,12:00:00,1.6,164.0,7.8,122.0,110.0,17.4
667,2004-04-07,13:00:00,1.8,151.0,9.1,115.0,103.0,18.1
668,2004-04-07,14:00:00,1.4,112.0,6.1,84.0,79.0,14.4
669,2004-04-07,15:00:00,1.9,117.0,7.5,146.0,104.0,10.9
670,2004-04-07,16:00:00,1.2,120.0,5.9,65.0,69.0,16.4
671,2004-04-07,17:00:00,2.3,251.0,12.7,120.0,96.0,18.0
672,2004-04-07,18:00:00,3.3,435.0,13.5,185.0,121.0,14.7
673,2004-04-07,19:00:00,3.1,345.0,14.5,157.0,129.0,11.3
674,2004-04-07,20:00:00,3.3,343.0,11.0,174.0,116.0,10.0
675,2004-04-07,21:00:00,1.2,62.0,3.2,62.0,71.0,9.8
676,2004-04-07,22:00:00,1.3,70.0,4.3,81.0,85.0,9.3
677,2004-04-07,23:00:00,1.9,114.0,7.1,118.0,101.0,9.6
678,2004-04-08,0:00:00,1.4,88.0,4.8,95.0,97.0,9.3
679,2004-04-08,1:00:00,1.5,95.0,5.7,84.0,89.0,9.0
680,2004-04-08,2:00:00,1.1,83.0,4.1,56.0,72.0,8.2
683,2004-04-08,5:00:00,0.8,68.0,2.8,69.0,62.0,8.1
684,2004-04-08,6:00:00,1.1,59.0,4.8,74.0,64.0,8.1
685,2004-04-08,7:00:00,2.6,226.0,13.8,161.0,80.0,8.1
686,2004-04-08,8:00:00,5.1,802.0,27.1,308.0,118.0,9.9
687,2004-04-08,9:00:00,4.2,585.0,19.1,300.0,130.0,13.0
688,2004-04-08,10:00:00,2.6,324.0,11.7,189.0,113.0,16.5
689,2004-04-08,11:00:00,2.4,308.0,12.7,164.0,112.0,19.3
690,2004-04-08,12:00:00,2.1,238.0,11.3,122.0,96.0,21.5
691,2004-04-08,13:00:00,2.6,301.0,14.2,166.0,125.0,20.4
692,2004-04-08,14:00:00,2.8,294.0,13.9,181.0,128.0,20.6
693,2004-04-08,15:00:00,2.5,353.0,13.2,127.0,101.0,20.6
694,2004-04-08,16:00:00,1.9,209.0,10.7,106.0,95.0,21.0
695,2004-04-08,17:00:00,3.6,538.0,19.7,192.0,138.0,21.5
696,2004-04-08,18:00:00,4.6,808.0,24.0,241.0,154.0,19.3
697,2004-04-08,19:00:00,6.3,974.0,29.1,326.0,171.0,18.0
698,2004-04-08,20:00:00,4.3,544.0,15.8,232.0,136.0,15.8
699,2004-04-08,21:00:00,1.6,138.0,7.0,92.0,93.0,15.3
700,2004-04-08,22:00:00,1.4,92.0,6.3,95.0,99.0,14.1
725,2004-04-09,23:00:00,2.3,169.0,8.4,157.0,95.0,12.0
726,2004-04-10,0:00:00,1.3,77.0,5.4,83.0,79.0,12.0
727,2004-04-10,1:00:00,1.7,98.0,6.9,118.0,78.0,11.5
728,2004-04-10,2:00:00,1.7,102.0,6.4,101.0,75.0,11.4
730,2004-04-10,4:00:00,0.8,69.0,3.3,46.0,52.0,10.8
731,2004-04-10,5:00:00,1.0,89.0,4.0,81.0,55.0,10.2
732,2004-04-10,6:00:00,1.4,134.0,6.0,112.0,65.0,10.8
733,2004-04-10,7:00:00,1.7,157.0,8.2,150.0,72.0,11.0
734,2004-04-10,8:00:00,2.0,167.0,9.9,138.0,76.0,12.4
735,2004-04-10,9:00:00,2.0,157.0,8.8,124.0,84.0,15.0
736,2004-04-10,10:00:00,1.9,172.0,8.4,124.0,90.0,16.6
737,2004-04-10,11:00:00,2.1,114.0,7.5,115.0,89.0,18.0
738,2004-04-10,12:00:00,1.8,166.0,7.8,101.0,87.0,20.6
739,2004-04-10,13:00:00,1.5,94.0,6.4,90.0,88.0,19.9
740,2004-04-10,14:00:00,1.3,108.0,5.1,90.0,81.0,19.8
741,2004-04-10,15:00:00,1.4,98.0,6.9,89.0,89.0,21.4
742,2004-04-10,16:00:00,1.5,132.0,6.8,92.0,91.0,22.1
743,2004-04-10,17:00:00,1.7,144.0,7.4,103.0,104.0,21.1
744,2004-04-10,18:00:00,2.0,165.0,8.7,122.0,111.0,18.3
745,2004-04-10,19:00:00,2.5,210.0,11.2,159.0,129.0,16.1
746,2004-04-10,20:00:00,2.4,277.0,10.5,172.0,133.0,14.8
747,2004-04-10,21:00:00,2.0,168.0,8.2,125.0,115.0,13.2
748,2004-04-10,22:00:00,2.9,248.0,11.6,187.0,125.0,12.3
749,2004-04-10,23:00:00,2.5,235.0,9.7,174.0,117.0,11.8
750,2004-04-11,0:00:00,1.4,84.0,5.1,75.0,84.0,11.2
751,2004-04-11,1:00:00,1.2,75.0,4.0,48.0,63.0,11.0
752,2004-04-11,2:00:00,1.0,62.0,3.7,61.0,68.0,9.3
755,2004-04-11,5:00:00,0.7,38.0,2.9,38.0,49.0,7.7
756,2004-04-11,6:00:00,0.8,44.0,2.9,41.0,49.0,7.4
757,2004-04-11,7:00:00,0.9,60.0,3.0,51.0,52.0,8.2
758,2004-04-11,8:00:00,1.1,88.0,3.7,61.0,58.0,8.7
759,2004-04-11,9:00:00,1.0,70.0,3.9,47.0,51.0,13.0
760,2004-04-11,10:00:00,1.6,94.0,6.2,87.0,77.0,17.4
761,2004-04-11,11:00:00,1.8,126.0,7.3,107.0,90.0,20.2
762,2004-04-11,12:00:00,2.6,181.0,9.2,161.0,118.0,22.7
763,2004-04-11,13:00:00,1.1,66.0,4.0,61.0,70.0,22.3
764,2004-04-11,14:00:00,0.6,54.0,2.3,26.0,35.0,22.2
765,2004-04-11,15:00:00,0.9,48.0,3.1,42.0,46.0,22.0
766,2004-04-11,16:00:00,1.0,66.0,3.2,55.0,58.0,21.0
767,2004-04-11,17:00:00,1.2,65.0,3.3,65.0,61.0,19.6
768,2004-04-11,18:00:00,1.4,68.0,4.0,75.0,80.0,17.9
769,2004-04-11,19:00:00,2.0,118.0,5.7,93.0,93.0,16.4
770,2004-04-11,20:00:00,1.1,65.0,3.4,63.0,78.0,15.6
771,2004-04-11,21:00:00,1.1,63.0,3.5,60.0,76.0,15.5
772,2004-04-11,22:00:00,1.1,61.0,2.9,63.0,74.0,14.5
773,2004-04-11,23:00:00,1.1,63.0,3.1,66.0,81.0,14.2
774,2004-04-12,0:00:00,0.7,31.0,1.6,41.0,58.0,13.7
775,2004-04-12,1:00:00,0.6,29.0,1.1,42.0,59.0,14.1
776,2004-04-12,2:00:00,0.7,34.0,2.0,36.0,54.0,14.6
778,2004-04-12,4:00:00,0.3,9.0,0.7,16.0,25.0,13.9
779,2004-04-12,5:00:00,0.3,14.0,0.5,16.0,26.0,13.5
780,2004-04-12,6:00:00,0.4,23.0,0.7,33.0,49.0,13.9
781,2004-04-12,7:00:00,0.5,36.0,0.9,39.0,53.0,13.5
782,2004-04-12,8:00:00,0.6,39.0,1.5,45.0,57.0,13.3
783,2004-04-12,9:00:00,0.8,38.0,2.2,63.0,73.0,13.4
784,2004-04-12,10:00:00,1.0,55.0,2.9,71.0,78.0,13.0
785,2004-04-12,11:00:00,1.3,75.0,3.9,104.0,93.0,12.7
786,2004-04-12,12:00:00,1.1,64.0,2.8,85.0,71.0,12.1
787,2004-04-12,13:00:00,0.6,39.0,1.4,53.0,56.0,11.2
788,2004-04-12,14:00:00,0.7,42.0,1.7,58.0,60.0,10.7
789,2004-04-12,15:00:00,1.2,78.0,3.6,89.0,77.0,11.4
790,2004-04-12,16:00:00,1.4,69.0,3.1,96.0,82.0,9.9
791,2004-04-12,17:00:00,1.2,67.0,3.5,88.0,77.0,10.3
792,2004-04-12,18:00:00,1.3,83.0,3.9,100.0,91.0,11.0
793,2004-04-12,19:00:00,1.8,79.0,5.2,127.0,93.0,10.6
794,2004-04-12,20:00:00,1.2,68.0,3.7,88.0,82.0,10.6
795,2004-04-12,21:00:00,0.8,56.0,2.7,66.0,74.0,10.6
796,2004-04-12,22:00:00,0.8,49.0,2.6,61.0,68.0,10.3
797,2004-04-12,23:00:00,0.8,56.0,2.4,54.0,65.0,10.4
798,2004-04-13,0:00:00,0.7,48.0,2.0,46.0,58.0,10.7
799,2004-04-13,1:00:00,0.5,27.0,1.3,25.0,36.0,10.5
800,2004-04-13,2:00:00,0.3,29.0,1.2,18.0,29.0,10.5
802,2004-04-13,4:00:00,0.3,47.0,0.9,21.0,28.0,11.1
803,2004-04-13,5:00:00,0.7,66.0,3.1,76.0,68.0,10.1
804,2004-04-13,6:00:00,1.6,163.0,6.9,149.0,99.0,10.0
805,2004-04-13,7:00:00,3.9,524.0,19.1,328.0,130.0,11.0
806,2004-04-13,8:00:00,4.5,657.0,22.1,282.0,128.0,12.0
807,2004-04-13,9:00:00,2.7,324.0,11.8,206.0,120.0,12.8
808,2004-04-13,10:00:00,1.6,144.0,7.3,133.0,93.0,12.6
809,2004-04-13,11:00:00,1.6,135.0,8.0,137.0,96.0,13.8
810,2004-04-13,12:00:00,1.6,140.0,7.2,116.0,84.0,15.1
811,2004-04-13,13:00:00,1.5,141.0,7.7,112.0,87.0,16.3
812,2004-04-13,14:00:00,1.8,181.0,9.7,128.0,87.0,16.6
813,2004-04-13,15:00:00,2.1,227.0,9.8,145.0,103.0,15.8
814,2004-04-13,16:00:00,1.7,149.0,7.7,110.0,88.0,16.3
815,2004-04-13,17:00:00,3.0,425.0,15.3,184.0,118.0,16.1
816,2004-04-13,18:00:00,4.6,669.0,21.5,243.0,134.0,15.3
817,2004-04-13,19:00:00,5.0,680.0,21.7,259.0,144.0,14.7
818,2004-04-13,20:00:00,3.5,446.0,14.6,205.0,129.0,14.1
819,2004-04-13,21:00:00,2.1,205.0,9.3,144.0,108.0,13.5
820,2004-04-13,22:00:00,2.1,194.0,9.4,152.0,104.0,12.3
821,2004-04-13,23:00:00,1.5,115.0,6.8,108.0,90.0,11.6
822,2004-04-14,0:00:00,1.1,74.0,4.9,64.0,74.0,11.5
823,2004-04-14,1:00:00,0.9,85.0,3.9,73.0,73.0,10.9
824,2004-04-14,2:00:00,0.7,66.0,2.7,47.0,60.0,11.1
827,2004-04-14,5:00:00,0.9,47.0,3.3,79.0,62.0,10.2
828,2004-04-14,6:00:00,1.6,116.0,7.4,113.0,71.0,10.3
829,2004-04-14,7:00:00,3.9,478.0,18.2,263.0,94.0,10.8
830,2004-04-14,8:00:00,5.0,836.0,27.7,275.0,99.0,13.3
831,2004-04-14,9:00:00,4.3,655.0,18.3,263.0,119.0,15.8
832,2004-04-14,10:00:00,2.7,312.0,12.3,183.0,103.0,19.5
833,2004-04-14,11:00:00,2.1,195.0,8.9,147.0,95.0,21.1
834,2004-04-14,12:00:00,2.1,238.0,10.4,132.0,95.0,18.4
855,2004-04-15,9:00:00,3.9,536.0,19.1,309.0,114.0,13.5
856,2004-04-15,10:00:00,3.8,481.0,17.3,327.0,127.0,15.0
857,2004-04-15,11:00:00,3.8,460.0,17.5,299.0,135.0,17.1
858,2004-04-15,12:00:00,3.9,597.0,17.0,257.0,135.0,18.4
859,2004-04-15,13:00:00,3.5,465.0,17.0,195.0,120.0,19.3
860,2004-04-15,14:00:00,4.0,542.0,19.5,231.0,129.0,19.2
861,2004-04-15,15:00:00,3.0,437.0,14.8,170.0,114.0,21.5
862,2004-04-15,16:00:00,3.1,383.0,14.0,192.0,129.0,19.6
863,2004-04-15,17:00:00,5.2,778.0,24.4,251.0,149.0,19.6
864,2004-04-15,18:00:00,5.9,926.0,28.1,289.0,149.0,18.3
865,2004-04-15,19:00:00,7.3,1189.0,33.7,351.0,158.0,17.4
866,2004-04-15,20:00:00,6.1,824.0,24.2,319.0,148.0,16.8
867,2004-04-15,21:00:00,4.6,660.0,19.8,264.0,134.0,16.2
868,2004-04-15,22:00:00,2.5,203.0,9.3,144.0,111.0,14.9
869,2004-04-15,23:00:00,2.2,136.0,7.3,119.0,106.0,13.9
870,2004-04-16,0:00:00,2.0,114.0,7.1,120.0,108.0,13.7
871,2004-04-16,1:00:00,1.9,110.0,6.7,96.0,93.0,13.4
872,2004-04-16,2:00:00,1.6,127.0,6.0,77.0,83.0,12.8
874,2004-04-16,4:00:00,1.0,70.0,3.6,63.0,69.0,11.9
875,2004-04-16,5:00:00,1.2,93.0,5.4,97.0,77.0,11.6
876,2004-04-16,6:00:00,2.0,179.0,10.0,180.0,87.0,11.7
877,2004-04-16,7:00:00,4.5,523.0,23.2,352.0,109.0,12.8
878,2004-04-16,8:00:00,4.1,546.0,18.7,279.0,116.0,13.8
879,2004-04-16,9:00:00,2.6,251.0,9.9,186.0,105.0,15.3
880,2004-04-16,10:00:00,2.3,222.0,10.2,169.0,106.0,16.6
881,2004-04-16,11:00:00,2.6,212.0,11.0,172.0,108.0,17.6
882,2004-04-16,12:00:00,2.4,263.0,10.5,127.0,100.0,19.2
883,2004-04-16,13:00:00,4.3,535.0,18.9,230.0,149.0,15.7
884,2004-04-16,14:00:00,4.6,609.0,18.9,280.0,148.0,14.5
885,2004-04-16,15:00:00,4.0,449.0,17.5,242.0,126.0,14.4
886,2004-04-16,16:00:00,4.7,536.0,17.7,250.0,140.0,14.6
887,2004-04-16,17:00:00,5.7,743.0,23.0,309.0,142.0,14.6
888,2004-04-16,18:00:00,5.2,575.0,20.4,270.0,141.0,14.0
889,2004-04-16,19:00:00,6.4,783.0,26.8,323.0,149.0,13.9
890,2004-04-16,20:00:00,6.0,706.0,19.9,307.0,140.0,13.8
891,2004-04-16,21:00:00,3.4,299.0,12.5,224.0,117.0,13.5
892,2004-04-16,22:00:00,2.7,159.0,9.6,166.0,103.0,13.1
893,2004-04-16,23:00:00,3.1,171.0,10.0,171.0,99.0,12.8
894,2004-04-17,0:00:00,2.6,162.0,8.1,169.0,100.0,12.7
895,2004-04-17,1:00:00,2.2,111.0,7.1,120.0,88.0,12.5
896,2004-04-17,2:00:00,1.9,134.0,6.4,103.0,83.0,12.7
1043,2004-04-23,5:00:00,0.6,46.0,2.9,59.0,59.0,14.2
1044,2004-04-23,6:00:00,0.8,56.0,4.9,72.0,67.0,14.3
1045,2004-04-23,7:00:00,4.0,452.0,22.6,244.0,95.0,14.0
1046,2004-04-23,8:00:00,5.6,880.0,31.1,351.0,123.0,15.4
1047,2004-04-23,9:00:00,5.0,759.0,22.1,358.0,142.0,19.1
1048,2004-04-23,10:00:00,3.2,394.0,18.3,245.0,142.0,23.7
1049,2004-04-23,11:00:00,3.8,639.0,22.0,240.0,169.0,26.9
1050,2004-04-23,12:00:00,3.3,541.0,20.1,179.0,142.0,29.7
1051,2004-04-23,13:00:00,3.0,468.0,18.9,160.0,136.0,29.2
1052,2004-04-23,14:00:00,3.2,483.0,20.6,174.0,147.0,29.6
1053,2004-04-23,15:00:00,4.4,682.0,25.3,260.0,196.0,30.0
1054,2004-04-23,16:00:00,4.6,698.0,25.8,281.0,186.0,29.5
1055,2004-04-23,17:00:00,5.2,832.0,30.6,284.0,177.0,27.0
1056,2004-04-23,18:00:00,4.8,872.0,27.1,250.0,164.0,24.9
1057,2004-04-23,19:00:00,5.6,899.0,32.5,281.0,161.0,23.1
1058,2004-04-23,20:00:00,4.6,692.0,20.8,230.0,146.0,21.5
1059,2004-04-23,21:00:00,1.8,145.0,10.9,98.0,98.0,20.5
1060,2004-04-23,22:00:00,2.2,208.0,13.0,121.0,108.0,19.2
1061,2004-04-23,23:00:00,2.0,204.0,11.8,110.0,107.0,18.8
1062,2004-04-24,0:00:00,2.8,240.0,13.4,161.0,113.0,18.2
1063,2004-04-24,1:00:00,2.6,251.0,13.4,148.0,100.0,16.1
1064,2004-04-24,2:00:00,1.8,173.0,9.0,109.0,87.0,16.3
1067,2004-04-24,5:00:00,0.7,65.0,3.7,71.0,65.0,14.8
1068,2004-04-24,6:00:00,0.9,119.0,5.7,75.0,64.0,14.0
1069,2004-04-24,7:00:00,1.5,151.0,10.0,106.0,73.0,14.6
1070,2004-04-24,8:00:00,2.5,305.0,15.0,166.0,86.0,16.7
1071,2004-04-24,9:00:00,3.0,415.0,15.6,188.0,105.0,20.0
1072,2004-04-24,10:00:00,2.6,321.0,12.3,161.0,107.0,23.9
1073,2004-04-24,11:00:00,2.6,358.0,14.4,139.0,114.0,26.8
1074,2004-04-24,12:00:00,2.6,350.0,14.6,134.0,105.0,27.2
1075,2004-04-24,13:00:00,1.9,238.0,8.7,84.0,74.0,26.9
1076,2004-04-24,14:00:00,2.0,215.0,11.0,98.0,95.0,24.3
1077,2004-04-24,15:00:00,1.7,192.0,9.0,91.0,89.0,25.6
1078,2004-04-24,16:00:00,1.9,205.0,10.7,99.0,95.0,27.0
1079,2004-04-24,17:00:00,1.8,165.0,9.9,90.0,93.0,27.5
1080,2004-04-24,18:00:00,2.8,283.0,15.7,147.0,123.0,24.9
1081,2004-04-24,19:00:00,3.5,467.0,19.4,177.0,134.0,23.4
1082,2004-04-24,20:00:00,3.4,485.0,16.8,162.0,126.0,21.2
1083,2004-04-24,21:00:00,2.0,202.0,6.8,88.0,79.0,15.6
1084,2004-04-24,22:00:00,1.1,64.0,3.0,53.0,54.0,12.9
1085,2004-04-24,23:00:00,1.3,71.0,3.2,68.0,69.0,11.5
1086,2004-04-25,0:00:00,1.2,84.0,3.1,61.0,67.0,12.2
1087,2004-04-25,1:00:00,1.3,70.0,3.9,71.0,73.0,12.4
1088,2004-04-25,2:00:00,1.0,61.0,3.6,63.0,73.0,12.7
1091,2004-04-25,5:00:00,0.3,20.0,0.7,14.0,20.0,12.5
1092,2004-04-25,6:00:00,0.5,31.0,1.1,34.0,37.0,12.8
1093,2004-04-25,7:00:00,0.6,41.0,1.4,42.0,50.0,13.5
1094,2004-04-25,8:00:00,0.6,40.0,1.6,40.0,45.0,14.4
1095,2004-04-25,9:00:00,0.8,35.0,2.3,48.0,48.0,15.1
1096,2004-04-25,10:00:00,1.0,44.0,2.5,61.0,56.0,16.6
1097,2004-04-25,11:00:00,0.9,71.0,2.7,58.0,58.0,17.2
1098,2004-04-25,12:00:00,1.0,66.0,2.7,57.0,52.0,17.4
1099,2004-04-25,13:00:00,0.8,46.0,2.2,54.0,52.0,17.9
1100,2004-04-25,14:00:00,0.7,50.0,2.0,41.0,44.0,18.3
1101,2004-04-25,15:00:00,0.9,51.0,3.4,57.0,59.0,19.4
1102,2004-04-25,16:00:00,1.3,64.0,4.5,83.0,74.0,20.2
1103,2004-04-25,17:00:00,1.4,138.0,4.7,81.0,76.0,19.6
1104,2004-04-25,18:00:00,1.5,137.0,6.0,98.0,83.0,18.5
